Reference,Pin,Signal,Net
J1L01,1,3V3,3V3
J1L02,1,3V3,3V3
J1L03,1,RST,RST
J1L04,1,IO4,CAM_SDA
J1L05,1,IO5,CAM_SCL
J1L06,1,IO6,CAM_VSYNC
J1L07,1,IO7,CAM_HREF
J1L08,1,IO15,NC
J1L09,1,IO16,CAM_D7
J1L10,1,IO17,CAM_D6
J1L11,1,IO18,CAM_D5
J1L12,1,IO8,CAM_D2
J1L13,1,IO3,NC
J1L14,1,IO46,NC
J1L15,1,IO9,CAM_D1
J1L16,1,IO10,CAM_D3
J1L17,1,IO11,CAM_D0
J1L18,1,IO12,CAM_D4
J1L19,1,IO13,CAM_PCLK
J1L20,1,IO14,KEY_K1
J1L21,1,5Vin,5V
J1L22,1,GND,GND
J1R01,1,GND,GND
J1R02,1,TX,NC
J1R03,1,RX,NC
J1R04,1,IO1,TP_MISO
J1R05,1,IO2,TP_CS
J1R06,1,IO42,LCD_CS
J1R07,1,IO41,LCD_MOSI
J1R08,1,IO40,LCD_SCLK
J1R09,1,IO39,LCD_RST
J1R10,1,IO38,LCD_DC
J1R11,1,IO37,NC
J1R12,1,IO36,NC
J1R13,1,IO35,NC
J1R14,1,IO0,NC
J1R15,1,IO45,NC
J1R16,1,IO48,NC
J1R17,1,IO47,TP_IRQ
J1R18,1,IO21,LCD_BL
J1R19,1,IO20,NC
J1R20,1,IO19,NC
J1R21,1,GND,GND
J1R22,1,GND,GND
J2,1,VCC,3V3
J2,2,GND,GND
J2,3,CS,LCD_CS
J2,4,RESET,LCD_RST
J2,5,DC-RS,LCD_DC
J2,6,SDI,LCD_MOSI
J2,7,SCK,LCD_SCLK
J2,8,LED,LCD_BL
J2,9,SDO,NC
J2,10,T_CLK,LCD_SCLK
J2,11,T_CS,TP_CS
J2,12,T_DIN,LCD_MOSI
J2,13,T_DO,TP_MISO
J2,14,T_IRQ,TP_IRQ
J3,1,GND,GND
J3,2,3V3,3V3
J3,3,SCL,CAM_SCL
J3,4,VSYNC,CAM_VSYNC
J3,5,SDA,CAM_SDA
J3,6,HREF,CAM_HREF
J3,7,D0,CAM_D0
J3,8,RST,CAM_RST
J3,9,D2,CAM_D2
J3,10,D1,CAM_D1
J3,11,D4,CAM_D4
J3,12,D3,CAM_D3
J3,13,D6,CAM_D6
J3,14,D5,CAM_D5
J3,15,PCLK,CAM_PCLK
J3,16,D7,CAM_D7
J3,17,PWDN,GND
J3,18,FLASH,CAM_FLASH
R1,1,1,3V3
R1,2,2,TP_CS
R2,1,1,3V3
R2,2,2,CAM_RST
R3,1,1,CAM_FLASH
R3,2,2,GND
R4,1,1,3V3
R4,2,2,CAM_SDA
R5,1,1,3V3
R5,2,2,CAM_SCL
K1,1,1,KEY_K1
K1,2,2,GND
C1,1,1,KEY_K1
C1,2,2,GND
C2,1,1,3V3
C2,2,2,GND
C3,1,1,3V3
C3,2,2,GND
C4,1,1,3V3
C4,2,2,GND
C5,1,1,3V3
C5,2,2,GND
TP1,1,5V,5V
TP2,1,3V3,3V3
TP3,1,GND,GND
TP4,1,RST,RST
